	query	answer	delta_s	counter	config_file	config_id	planner
0	Q05	"{'d2': 'http://dbpedia.org/resource/%22Weird_Al%22_Yankovic', 'o1': '""""Weird Al"" Yankovic""@en', 'd1': 'http://dbpedia.org/resource/Albuquerque_(song)'}"	1.89214611053	0	configs/journal_studies//3_ldp_shj.yaml	3	ldp shj
1	Q05	"{'d2': 'http://dbpedia.org/resource/%22Weird_Al%22_Yankovic', 'o1': '""""Weird Al"" Yankovic""@en', 'd1': 'http://dbpedia.org/resource/Close_but_No_Cigar_(song)'}"	9.05670809746	1	configs/journal_studies//3_ldp_shj.yaml	3	ldp shj
2	Q05	"{'d2': 'http://dbpedia.org/resource/%22Weird_Al%22_Yankovic', 'o1': '""""Weird Al"" Yankovic""@en', 'd1': 'http://dbpedia.org/resource/Couch_Potato_(song)'}"	9.85309910774	2	configs/journal_studies//3_ldp_shj.yaml	3	ldp shj
3	Q05	"{'d2': 'http://dbpedia.org/resource/%22Weird_Al%22_Yankovic', 'o1': '""""Weird Al"" Yankovic""@en', 'd1': 'http://dbpedia.org/resource/Do_I_Creep_You_Out'}"	12.9714961052	3	configs/journal_studies//3_ldp_shj.yaml	3	ldp shj
4	Q05	"{'d2': 'http://dbpedia.org/resource/%22Weird_Al%22_Yankovic', 'o1': '""""Weird Al"" Yankovic""@en', 'd1': ""http://dbpedia.org/resource/Here's_Johnny_(song)""}"	25.8860189915	4	configs/journal_studies//3_ldp_shj.yaml	3	ldp shj
5	Q05	"{'d2': 'http://dbpedia.org/resource/2Mex', 'o1': '""2""^^<http://www.w3.org/2001/XMLSchema#integer>', 'd1': 'http://dbpedia.org/resource/Goodbye_Horses'}"	35.6224620342	5	configs/journal_studies//3_ldp_shj.yaml	3	ldp shj
6	Q05	"{'d2': 'http://dbpedia.org/resource/2Play', 'o1': '""2""^^<http://www.w3.org/2001/XMLSchema#integer>', 'd1': 'http://dbpedia.org/resource/Goodbye_Horses'}"	35.6237039566	6	configs/journal_studies//3_ldp_shj.yaml	3	ldp shj
7	Q05	"{'d2': 'http://dbpedia.org/resource/2_Chainz', 'o1': '""2""^^<http://www.w3.org/2001/XMLSchema#integer>', 'd1': 'http://dbpedia.org/resource/Goodbye_Horses'}"	35.6298339367	7	configs/journal_studies//3_ldp_shj.yaml	3	ldp shj
8	Q05	"{'d2': 'http://dbpedia.org/resource/2_Cold_Scorpio', 'o1': '""2""^^<http://www.w3.org/2001/XMLSchema#integer>', 'd1': 'http://dbpedia.org/resource/Goodbye_Horses'}"	35.6301031113	8	configs/journal_studies//3_ldp_shj.yaml	3	ldp shj
9	Q05	"{'d2': 'http://dbpedia.org/resource/2_Pistols', 'o1': '""2""^^<http://www.w3.org/2001/XMLSchema#integer>', 'd1': 'http://dbpedia.org/resource/Goodbye_Horses'}"	35.634540081	9	configs/journal_studies//3_ldp_shj.yaml	3	ldp shj
10	Q05	"{'d2': 'http://dbpedia.org/resource/2_Tuff_Tony', 'o1': '""2""^^<http://www.w3.org/2001/XMLSchema#integer>', 'd1': 'http://dbpedia.org/resource/Goodbye_Horses'}"	35.6361649036	10	configs/journal_studies//3_ldp_shj.yaml	3	ldp shj
11	Q05	"{'d2': 'http://dbpedia.org/resource/2face_Idibia', 'o1': '""2""^^<http://www.w3.org/2001/XMLSchema#integer>', 'd1': 'http://dbpedia.org/resource/Goodbye_Horses'}"	35.6389780045	11	configs/journal_studies//3_ldp_shj.yaml	3	ldp shj
